review_file,direction,tier,source_checked,notes
kb/agent-memory-systems/reviews/Agent-S.md,push,B,no,embedding matcher injects retrieved summaries into prompts
kb/agent-memory-systems/reviews/AgentFly.md,push,B,no,similarity or learned case selector injects retrieved cases into planner prompt
kb/agent-memory-systems/reviews/AriGraph.md,push,B,no,current observation and plan cues inject graph and episodic memory before planning/action
kb/agent-memory-systems/reviews/Auto-claude-code-research-in-sleep.md,push,B,no,slash-command workflows and recovery protocols load skills/project state/query packs
kb/agent-memory-systems/reviews/Awesome-Agent-Memory.md,pull,A,no,manual browsing or search of README catalogue only
kb/agent-memory-systems/reviews/CORAL.md,both,B,no,CLI/file inspection plus startup and heartbeat prompt injection
kb/agent-memory-systems/reviews/Closure-SDK.md,both,B,no,query/resonance APIs afford pull; restored brain/genome state shapes runtime behavior
kb/agent-memory-systems/reviews/HippoRAG.md,pull,A,no,query-time retrieval API; push integration left to host
kb/agent-memory-systems/reviews/KBLaM.md,push,B,no,KB tensors enter model attention with optional top-k sparsification
kb/agent-memory-systems/reviews/MehmetGoekce--llm-wiki.md,both,B,no,L1 always-loaded memory plus L2 /wiki query pull
kb/agent-memory-systems/reviews/Memori.md,push,B,no,registered wrappers/hooks retrieve and inject facts before LLM calls
kb/agent-memory-systems/reviews/MemoryOS.md,both,B,no,generation injects retrieved memory; MCP tools expose explicit retrieval
kb/agent-memory-systems/reviews/MiroShark.md,both,B,no,simulation injects belief/round memory; tools query graph and trace state
kb/agent-memory-systems/reviews/OS-Copilot.md,push,B,no,FRIDAY retrieves and injects tool descriptions/code during planning/generation
kb/agent-memory-systems/reviews/OpenSage.md,both,B,no,prompt-injected Skills/file memory plus graph/history search tools
kb/agent-memory-systems/reviews/Pratiyush--llm-wiki.md,pull,A,no,agents query/read wiki pages through search MCP CLI exports commands or skills
kb/agent-memory-systems/reviews/REM.md,both,B,no,direct retrieval API plus framework prompt injection before generation
kb/agent-memory-systems/reviews/Self-Training-LLM.md,push,B,no,learned checkpoint state affects generation without agent-facing retrieval
kb/agent-memory-systems/reviews/SkillWeaver.md,push,B,no,relevant generated functions selected and injected before action generation
kb/agent-memory-systems/reviews/SkillX.md,push,B,no,retrieved plans and skills formatted into acting agent prompt before execution
kb/agent-memory-systems/reviews/Zikkaron.md,both,B,no,MCP recall tools plus session-start and prompt-submission hook injection
kb/agent-memory-systems/reviews/ace.md,push,B,no,current playbook injected into every generator prompt
kb/agent-memory-systems/reviews/agent-r.md,push,B,no,downstream fine-tuned weights affect generation; no runtime retrieval path
kb/agent-memory-systems/reviews/agent-skills-for-context-engineering.md,push,B,no,host trigger metadata loads relevant skill instructions into context
kb/agent-memory-systems/reviews/agent-workflow-memory.md,push,B,no,configured workflow file injected into acting prompt before action selection
kb/agent-memory-systems/reviews/agentic-harness-engineering.md,push,B,no,next run loads evolved workspace harness edits without agent lookup
kb/agent-memory-systems/reviews/amazon-science--SAGE.md,both,B,no,evaluation retrieves skill functions; checkpoints affect generation without lookup
kb/agent-memory-systems/reviews/archie.md,both,A,no,prompt-loaded agent rules plus deliberate docs/work-item reading
kb/agent-memory-systems/reviews/arscontexta.md,both,B,no,query/processing skills plus context-file and hook orientation injection
kb/agent-memory-systems/reviews/atomic.md,pull,A,no,chat and MCP clients invoke search/read tools; no proactive injection path
kb/agent-memory-systems/reviews/auto-harness.md,push,B,no,next benchmark run imports evolved agent and gate suite without agent lookup
kb/agent-memory-systems/reviews/autocontext.md,push,B,no,runtime context assembly injects scenario knowledge and active harness mutations into role prompts
kb/agent-memory-systems/reviews/binder.md,pull,A,no,agent must query/search/transact or choose to read projected files
kb/agent-memory-systems/reviews/browzy-ai.md,push,B,no,app-side FTS ranking and section extraction inject retrieved wiki context into answer prompts
kb/agent-memory-systems/reviews/byterover-cli.md,both,B,no,agents can call brv-query; query and connector services inject ranked context-tree results into prompts
kb/agent-memory-systems/reviews/cass_memory_system.md,both,B,no,agents can call cm context or MCP search; exported agent files can load playbook rules without lookup
kb/agent-memory-systems/reviews/claude-context-guard.md,push,B,no,slash-command recovery routines CLAUDE.md and hooks load continuity state without agent-originated search
kb/agent-memory-systems/reviews/clawvault.md,both,B,no,agents can call memory_search; OpenClaw hooks inject recall and context before prompt build
kb/agent-memory-systems/reviews/cludebot.md,pull,A,no,agent or host calls recall/MCP tools; no proactive injection path described
kb/agent-memory-systems/reviews/cocoindex.md,pull,A,no,agents query downstream maintained targets; no proactive context injection
kb/agent-memory-systems/reviews/cognee.md,both,B,no,agents can call recall/search tools; @agent_memory fetches graph memory before agent functions run
kb/agent-memory-systems/reviews/context-constitution.md,push (always-loaded),A,no,constitution shapes behavior when loaded as prompt or training policy not by agent lookup
kb/agent-memory-systems/reviews/cq.md,pull,A,no,loaded skill tells agents when to call query; knowledge units are not proactively injected
kb/agent-memory-systems/reviews/crewai-memory.md,both,B,no,automatic recall injects memory into task prompts; agents can use explicit memory search tools
kb/agent-memory-systems/reviews/decapod.md,both,B,no,agent entrypoints load governance rules; agents call decapod for context capsules and governed state
kb/agent-memory-systems/reviews/docmason.md,push,B,no,canonical ask retrieves evidence and interaction memories into governed answer path
kb/agent-memory-systems/reviews/dynamic-cheatsheet.md,push,B,no,benchmark wrapper injects carried cheatsheet and retrieved examples into generator prompts
kb/agent-memory-systems/reviews/engraph.md,pull,A,no,agents call search/read/context tools over derived vault index; no proactive injection path described
kb/agent-memory-systems/reviews/equipa.md,both,B,no,prompt construction injects selected lessons and episodes; agents can query lessons/logs through MCP or CLI
kb/agent-memory-systems/reviews/exocomp.md,both,A,no,role prompts injected at session construction; agents can load skills or read coordination files through tools
kb/agent-memory-systems/reviews/expel.md,push,B,no,evaluation injects distilled rules and retrieved trajectory examples into task prompt
kb/agent-memory-systems/reviews/g-memory.md,push,B,no,retrieved successes and scored insights selected and injected into task prompts before execution
kb/agent-memory-systems/reviews/gbrain.md,both,A,no,agents can query/search through CLI or MCP; loaded skills/resolver guidance can shape behavior without lookup
kb/agent-memory-systems/reviews/getsentry-skills.md,push,B,no,skill/plugin activation loads selected SKILL.md instructions into agent context without agent lookup
kb/agent-memory-systems/reviews/gnosis.md,pull,A,no,doctrine tells agents to run gn search; entries are not injected automatically
kb/agent-memory-systems/reviews/halo.md,pull,A,no,analyst agents deliberately call bounded trace tools; no unsolicited trace-memory injection
kb/agent-memory-systems/reviews/hindsight.md,both,B,no,agents can recall or reflect through tools; OpenClaw recall and active directives inject context before prompts
kb/agent-memory-systems/reviews/hyalo.md,both,A,no,agents query through Hyalo CLI; generated Claude rules and managed instructions can steer sessions without lookup
kb/agent-memory-systems/reviews/hyperagents.md,both,B,no,meta agents inspect prior eval artifacts; selected patch lineages are replayed into future agents
kb/agent-memory-systems/reviews/kenhuangus--llm-wiki.md,pull,A,no,agents query wiki pages through BM25 UI or API search; monitors update wiki but do not inject context
kb/agent-memory-systems/reviews/lacp.md,both,B,no,agents can call memory/report commands; Claude hooks inject selected context SMS handoffs and gates into sessions
kb/agent-memory-systems/reviews/llm-wiki.md,both,A,no,agents query wiki indexes/articles; plugin skills and portable instructions can load behavior rules without wiki query
kb/agent-memory-systems/reviews/mempalace.md,both,B,no,agents search drawers and KG through tools; wake-up layers and hooks can inject context or force capture
kb/agent-memory-systems/reviews/mentisdb.md,both,A,no,agents query thought chains through MCP or REST tools; bootstrap instructions and core skills load behavior rules
kb/agent-memory-systems/reviews/meta-harness.md,both,B,no,proposer agents read trace and frontier artifacts; selected candidate files activate through later imports/evaluations
kb/agent-memory-systems/reviews/nao.md,both,B,no,agents pull project context through tools and mentions; prompt assembly injects rules memories skills and selected context
kb/agent-memory-systems/reviews/napkin.md,pull,A,no,agents run overview search and read over vault; checked-in core does not inject notes automatically
kb/agent-memory-systems/reviews/nuggets.md,both,B,no,Pi can recall nugget facts explicitly; hooks and gateway inject remembered facts or scheduled prompts into later turns
kb/agent-memory-systems/reviews/o-o.md,both,A,no,running file loads update contract; updater agents read article and source-cache content during refresh
kb/agent-memory-systems/reviews/openviking.md,both,B,no,agents search/read through MCP or HTTP tools; plugins can auto-recall and inject memories before later turns
kb/agent-memory-systems/reviews/operational-ontology-framework.md,pull,A,no,agents or external runners must deliberately load files; no public runner injects them
kb/agent-memory-systems/reviews/pal.md,both,B,no,agents pull files wiki SQL and routing metadata through tools; Agno learnings and team instructions enter runtime context
kb/agent-memory-systems/reviews/phantom.md,both,B,no,agents pull memories through MCP UI and file reads; prompt assembly injects working memory Qdrant context and evolved config
kb/agent-memory-systems/reviews/pi-self-learning.md,both,B,no,agents pull memory through slash commands and files; before_agent_start injects ranked core daily and monthly context
kb/agent-memory-systems/reviews/playground.md,push,B,no,runtime selects memory chunks and recent shell turns into a budgeted prompt cover before each model call
kb/agent-memory-systems/reviews/reasoning-bank.md,push,B,no,task-query retrieval selects a prior memory item and injects it into the acting agent system prompt before each benchmark run
kb/agent-memory-systems/reviews/reflexion.md,push,B,no,retry loops inject the latest task-local reflections into prompts after failure-triggered reflection
kb/agent-memory-systems/reviews/sage.md,both,B,no,agents pull memories through MCP and REST recall; hooks boot instructions and turn surfaces activate memory into runtime context
kb/agent-memory-systems/reviews/semiont.md,pull,A,no,agents deliberately browse match gather and inspect annotations or graph/vector projections through MCP CLI SDK or UI workflows
kb/agent-memory-systems/reviews/sift-kg.md,pull,A,no,agents deliberately query search inspect topology or follow the bundled skill to consume the generated graph as advisory context
kb/agent-memory-systems/reviews/siftly.md,pull,A,no,users or agents deliberately search browse filter export or inspect the mindmap to consume enriched bookmark context
kb/agent-memory-systems/reviews/signetai.md,both,B,no,agents pull memory through MCP CLI SDK and daemon recall; connector hooks inject recall snippets and memory-use instructions
kb/agent-memory-systems/reviews/skillnote.md,both,B,no,agents pull skills through MCP tools or mirrored files; synced collections and sidecars load skill discovery and usage instructions
kb/agent-memory-systems/reviews/spacebot.md,both,B,no,agents can call memory recall; cortex bulletins and knowledge synthesis are injected as warm runtime context
kb/agent-memory-systems/reviews/stash.md,pull,A,no,agents deliberately call MCP or CLI recall/query tools which return facts first and raw episodes as fallback context
kb/agent-memory-systems/reviews/supermemory.md,both,B,no,agents call MCP recall; SDK middleware injects hosted profile and search context into prompts before generation
kb/agent-memory-systems/reviews/synapptic.md,push,B,no,compiled archetypes and guard files enter assistant memory startup or rule channels for future sessions
kb/agent-memory-systems/reviews/tendril.md,pull,A,no,agents deliberately list registered capability summaries and execute selected capabilities by name
kb/agent-memory-systems/reviews/thalo.md,pull,A,no,agents deliberately query validate navigate or actualize thalo source entries through the CLI LSP or action
kb/agent-memory-systems/reviews/tolaria.md,both,B,no,agents pull vault notes through MCP search/read tools; AI-panel snapshots inject active UI context into launched agents
kb/agent-memory-systems/reviews/tracecraft.md,pull,A,no,agents deliberately call CLI commands to read shared memory inboxes step status handoffs and artifacts
kb/agent-memory-systems/reviews/virtual-context.md,both,B,no,proxy injects retrieved summaries facts and tool handles automatically; agents page memory through VC and MCP tools
kb/agent-memory-systems/reviews/voiden.md,both,B,no,agents search and read executable void files; composed Claude/Codex skills load enabled-extension guidance into agent runtimes
kb/agent-memory-systems/reviews/voyager.md,push,B,no,description embeddings retrieve approved JavaScript skills and inject them into the action prompt and Mineflayer execution context
kb/agent-memory-systems/reviews/wuphf.md,both,B,no,broker notifications inject bounded context into fresh sessions while agents can query wiki notebooks lookup and skills
kb/agent-memory-systems/reviews/xMemory.md,both,B,no,callers can search memory; adaptive QA harness injects selected themes facts episodes and raw messages into the answer prompt
